Face Detector,Face Recognizer,Distance Metric,Threshold,Accuracy,Confusion Matrix,True Negatives,False Positives,False Negatives,True Positives,Precision,Recall,TPR,FPR
yunet,VGG-Face,cosine,0.4,0.6301666666666667,"[[1134 1866]
 [ 353 2647]]",1134,1866,353,2647,0.586527808553069,0.8823333333333333,0.8823333333333333,0.622
yunet,Facenet,cosine,0.4,0.7215,"[[2657  343]
 [1328 1672]]",2657,343,1328,1672,0.8297766749379653,0.5573333333333333,0.5573333333333333,0.11433333333333333
yunet,Facenet512,cosine,0.3,0.666,"[[2918   82]
 [1922 1078]]",2918,82,1922,1078,0.9293103448275862,0.35933333333333334,0.35933333333333334,0.027333333333333334
yunet,ArcFace,cosine,0.68,0.7165,"[[2181  819]
 [ 882 2118]]",2181,819,882,2118,0.7211440245148111,0.706,0.706,0.273
yunet,SFace,cosine,0.593,0.6291666666666667,"[[2888  112]
 [2113  887]]",2888,112,2113,887,0.8878878878878879,0.2956666666666667,0.2956666666666667,0.037333333333333336
